Folder no.,Project no.,Project name,Batch no.,Comment,Sample taken,Grid reference,Flow rate (litres/sec),Weather conditions,BOD 5 Day ATU (mg/l),Nitrogen : Total as N (mg/l),Phosphorus : Total as P (mg/l),Alkalinity to pH 4.5 as CaCO3 (mg/l),Ammoniacal Nitrogen as N (mg/l),Chloride (mg/l),Nitrite as N (mg/l),Nitrogen : Total Oxidised as N (mg/l),"Orthophosphate, reactive as P (mg/l)","Silicate, reactive as SiO2 (mg/l)",Phosphate : Total as P (mg/l),Conductivity at 20C (uS/cm),Turbidity (NTU),"Solids, Suspended at 105 C (mg/l)",Calcium (mg/l),Magnesium (mg/l),Potassium (mg/l),Sodium (mg/l)
003246228,22132033,Shropshire Mere inflows monitoring,20079029,Marton Pool Inflow Road Drain,19-MAY-15  15:10,SJ2935 0281,10.00,,>23.7,36.2,2.2,194,3.48,64.2,1.4,3.56,0.957,6.17,1.71,541,209,224,53,10.8,36.1,31.8
003246229,22132033,Shropshire Mere inflows monitoring,20079029,Marton Pool Inflow Lowerfield Brook,19-MAY-15  13:20,SJ2948 0292,20.00,,1.35,4.17,0.119,153,0.285,20.3,0.0187,3.6,0.096,6.55,0.107,373,4,5.53,56.8,10.2,3.14,11.3
003246230,22132033,Shropshire Mere inflows monitoring,20079029,Marton Pool Inflow Dale Ditch,19-MAY-15  13:50,SJ2963 0287,26.00,,<1.00,0.66,0.0422,270,0.148,45.4,0.0137,0.37,0.017,11.5,<0.0400,672,6.6,4.83,104,17.2,4.44,24.8
003246231,22132033,Shropshire Mere inflows monitoring,20079402,White Mere Inflow Griffiths Field Drain,01-JUN-15  11:05,SJ4170 3274,1.00,,<1.00,0.83,0.0686,310,0.034,51.1,<0.00400,0.42,0.017,7.41,0.0737,771,44.2,24.3,133,24,2.36,16.9
003246232,22132033,Shropshire Mere inflows monitoring,20079402,Cole Mere Inflow Little Mill Cottage,01-JUN-15  12:04,SJ4288 3347,8.00,,<1.00,1.4,0.129,116,0.06,17.2,0.0142,0.42,0.037,3.26,0.111,250,9.1,11.5,43,4.45,1.23,8.78
003246233,22132033,Shropshire Mere inflows monitoring,20079402,Cole Mere Inflow Canal by the Overspill,01-JUN-15  12:23,SJ4309 3356,1.00,,1.46,0.97,0.0309,31,<0.0300,14.1,<0.00400,0.62,<0.0100,1.43,0.0331,110,16.2,27.1,11.4,2.25,0.971,7.2
003246234,22132033,Shropshire Mere inflows monitoring,20079402,Cole Mere Inflow Black Coppice Drain,01-JUN-15  12:35,SJ4313 3354,1.40,,2.59,14.8,0.0897,220,<0.0300,40.9,0.0071,13.5,<0.0100,7.42,0.0612,616,16.7,37.3,136,19.3,10.2,13.1
003246235,22132033,Shropshire Mere inflows monitoring,20079402,Crose Mere Silt Trap Inflow,01-JUN-15  13:45,SJ4283 3034,0.30,,2.5,14.7,0.68,212,0.503,37,0.297,12.7,0.56,6.74,0.66,607,7.2,11.6,95.8,18.4,3.01,15.4
003246236,22132033,Shropshire Mere inflows monitoring,20079402,Crose Mere Silt Trap Outflow,01-JUN-15  14:02,SJ4285 3038,0.08,,7.2,2.51,0.779,227,<0.0300,42.3,0.0064,<0.200,0.549,11,0.685,474,22.4,18.4,73.2,19.2,4.7,15.3
003246237,22132033,Shropshire Mere inflows monitoring,20079402,Sweat Mere Inflow Hulme Field Drain,01-JUN-15 15:30,SJ4367 3040,8.50,,<1.00,18.3,<0.0100,275,<0.0300,37.5,0.0196,16.7,<0.0100,9.44,<0.0200,774,6.7,5.22,113,11.4,1.03,14.4
003272017,22132033,Shropshire Mere inflows monitoring,20081060,Marton Pool Inflow Road Drain,09-JUL-15  11:30,SJ2935 0281,6.00,Fine and dry,1.16,17.3,0.056,211,0.108,40.7,0.065,17,0.032,9.48,0.0528,614,3.8,3.55,109,14.4,4.99,20.2
003272018,22132033,Shropshire Mere inflows monitoring,20081060,Marton Pool Inflow Lowerfield Brook,09-JUL-15  12:10,SJ2948 0292,11.00,Fine and dry,1.14,3.29,0.0742,181,0.03,20.6,0.011,3.07,0.066,9.7,0.0761,415,2.2,<3,72,13.1,2.61,13
003272019,22132033,Shropshire Mere inflows monitoring,20081060,Marton Pool Inflow Dale Ditch,09-JUL-15  12:50,SJ2963 0287,20.00,Fine and dry,<1.00,0.7,0.0184,265,0.517,39.5,0.0077,<0.200,<0.0100,12.8,<0.0200,634,4.3,<3,112,18.3,4.64,22.4
003272020,22132033,Shropshire Mere inflows monitoring,20082660,Sweat Mere Inflow Hulme Field Drain,18-AUG-15  09:15,SJ4367 3040,0.75,,<1.00,21.7,<0.0100,265,<0.0300,36.1,0.0197,20.2,<0.0100,10.1,<0.0200,799,<1.00,<3,142,18.8,10.9,13.3
003272021,22132033,Shropshire Mere inflows monitoring,20082660,Crose Mere Silt Trap Inflow,18-AUG-15  11:08,SJ4283 3034,0.02,,1.2,20.5,1.02,146,0.035,33.2,0.043,19,0.918,8.01,0.995,555,3.3,4.07,85.5,15.3,3.32,17.3
003272022,22132033,Shropshire Mere inflows monitoring,20082660,White Mere Inflow Griffiths Field Drain,18-AUG-15  12:45,SJ4170 3274,0.33,,<1.00,0.67,0.137,320,0.039,53.4,<0.00400,0.22,<0.0100,7.93,0.106,814,76.1,39.4,151,25.2,2.56,19
003272023,22132033,Shropshire Mere inflows monitoring,20082660,Clarepool Moss Near Diver 2,18-AUG-15  13:45,SJ4347 3409,0.00,,>22.0,5.55,3.08,12,4.88,32.1,0.0161,<0.200,1.35,<0.200,2.66,133,29.5,58.1,6.11,2.49,8.09,8.4
003272024,22132033,Shropshire Mere inflows monitoring,20082660,Cole Mere Inflow Canal by the Overspill,18-AUG-15  15:13,SJ4309 3356,0.00,,1.48,2.44,0.231,19,<0.0300,11.7,<0.00400,0.25,<0.0100,1.3,0.0659,82,39.1,78.2,8.32,1.91,0.732,6.45
003272025,22132033,Shropshire Mere inflows monitoring,20082660,Cole Mere Inflow Black Coppice Drain,18-AUG-15  15:20,SJ4313 3354,3.75,,<1.00,15.2,0.0444,218,<0.0300,40.2,0.0059,14.3,0.02,8.83,0.031,639,3.4,12.5,122,11.1,1.33,15.5
003272026,22132033,Shropshire Mere inflows monitoring,20082660,Cole Mere Inflow Little Mill Cottage,18-AUG-15  15:45,SJ4288 3347,1.13,,1.21,1.08,0.181,77,<0.0300,14.4,0.0062,0.29,0.054,5.08,0.164,183,12.9,16.5,30.4,3.31,0.787,7.52
003343809,22132033,Shropshire Mere inflows monitoring,20083551,Marton Pool Inflow Road Drain,10-SEP-15  12:12,SJ2935 0281,0.30,,2.78,18.7,0.547,233,2.36,46.4,0.271,16,0.469,10.1,0.524,682,2.2,4.5,105,14.1,7.1,25
003343810,22132033,Shropshire Mere inflows monitoring,20083551,Marton Pool Inflow Lowerfield Brook,10-SEP-15  12:30,SJ2948 0292,14.40,,1.63,4.15,0.244,184,1.19,28.2,0.105,2.77,0.225,9.28,0.242,461,2.4,4.3,68.8,12.9,3.5,17.1
003343811,22132033,Shropshire Mere inflows monitoring,20083551,Marton Pool Inflow Dale Ditch,10-SEP-15  13:00,SJ2963 0287,15.00,,1,0.94,0.133,281,0.75,40.6,0.0142,<0.200,0.031,13.5,0.13,667,9.4,8.1,110,17.9,4.92,22.2
003343277,22132033,Shropshire Mere inflows monitoring,20085372,Cole Mere Inflow Canal by the Overspill,27-OCT-15  10:15,SJ4309 3356,3.50,,<1.00,0.57,0.0386,19,<0.0300,11.1,<0.00400,0.2,<0.0100,1.88,0.029,82,9.1,22,7.17,1.63,0.932,6.34
